Name,PlayerID,Draft Year,Position,Height,Weight,Draft Team,College
Aaron Rodgers,20050024,2005,QB,74.0,225.0,GB,California
Akili Smith,19990003,1999,QB,75.0,220.0,CIN,Oregon
Alex Smith,20050001,2005,QB,76.0,217.0,SF,Utah
Andre Ware,19900007,1990,QB,74.0,205.0,DET,Houston
Andrew Luck,20120001,2012,QB,76.0,240.0,IND,Stanford
Art Schlichter,19820004,1982,QB,0.0,0.0,BLT,Ohio State
Baker Mayfield,20180001,2018,QB,73.0,216.0,CLV,Oklahoma
Ben Roethlisberger,20040011,2004,QB,77.0,240.0,PIT,Miami (OH)
Blaine Gabbert,20110010,2011,QB,76.0,235.0,JAX,Missouri
Blake Bortles,20140003,2014,QB,77.0,236.0,JAX,Central Florida
Brady Quinn,20070022,2007,QB,75.0,235.0,CLV,Notre Dame
Brandon Weeden,20120022,2012,QB,75.0,230.0,CLV,Oklahoma State
Byron Leftwich,20030007,2003,QB,77.0,250.0,JAX,Marshall
Cade McNown,19990012,1999,QB,73.0,210.0,CHI,UCLA
Cam Newton,20110001,2011,QB,77.0,245.0,CAR,Auburn
Carson Palmer,20030001,2003,QB,77.0,235.0,CIN,USC
Carson Wentz,20160002,2016,QB,77.0,237.0,PHI,North Dakota State
Chad Pennington,20000018,2000,QB,75.0,225.0,NYJ,Marshall
Chris Miller,19870013,1987,QB,74.0,212.0,ATL,Oregon
Christian Ponder,20110012,2011,QB,74.0,230.0,MIN,Florida State
Chuck Long,19860012,1986,QB,76.0,217.0,DET,Iowa
Dan Marino,19830027,1983,QB,76.0,228.0,MIA,Pittsburgh
Dan McGwire,19910016,1991,QB,80.0,240.0,SEA,San Diego State
Daunte Culpepper,19990011,1999,QB,76.0,260.0,MIN,Central Florida
David Carr,20020001,2002,QB,75.0,212.0,HST,Frenso State (CA)
David Klingler,19920006,1992,QB,75.0,215.0,CIN,Houston
Deshaun Watson,20170012,2017,QB,75.0,215.0,HST,Clemson
Donovan McNabb,19990002,1999,QB,74.0,240.0,PHI,Syracuse
Doug Williams,19780017,1978,QB,76.0,220.0,TB,Grambling State (LA)
Drew Bledsoe,19930001,1993,QB,77.0,238.0,NE,Washington State
E.J. Manuel,20130016,2013,QB,76.0,237.0,BUF,Florida State
Eli Manning,20040001,2004,QB,77.0,220.0,SD,Mississippi
Heath Shuler,19940003,1994,QB,74.0,216.0,WAS,Tennessee
J.P. Losman,20040022,2004,QB,74.0,217.0,BUF,Tulane
Jack Thompson,19790003,1979,QB,0.0,0.0,CIN,Washington State
Jake Locker,20110008,2011,QB,75.0,223.0,TEN,Washington
JaMarcus Russell,20070001,2007,QB,78.0,260.0,OAK,Louisiana State
Jameis Winston,20150001,2015,QB,76.0,231.0,TB,Florida State
Jared Goff,20160001,2016,QB,76.0,223.0,LA,California
Jason Campbell,20050025,2005,QB,77.0,230.0,WAS,Auburn
Jay Cutler,20060011,2006,QB,75.0,231.0,DEN,Vanderbilt
Jeff George,19900001,1990,QB,76.0,214.0,IND,Illinois
Jim Druckenmiller,19970026,1997,QB,77.0,234.0,SF,Virginia Tech
Jim Everett,19860003,1986,QB,77.0,212.0,HO,Purdue
Jim Harbaugh,19870026,1987,QB,75.0,215.0,CHI,Michigan
Jim Kelly,19830014,1983,QB,0.0,0.0,BUF,Miami (FL)
Jim McMahon,19820005,1982,QB,0.0,0.0,CHI,BYU
Joe Flacco,20080018,2008,QB,78.0,245.0,BLT,Delaware
Joey Harrington,20020003,2002,QB,76.0,210.0,DET,Oregon
John Elway,19830001,1983,QB,0.0,0.0,BLT,Stanford
Johnny Manziel,20140022,2014,QB,73.0,210.0,CLV,Texas A&M
Josh Allen,20180007,2018,QB,77.0,240.0,TB,Wyoming
Josh Freeman,20090017,2009,QB,78.0,240.0,TB,Kansas State
Josh Rosen,20180010,2018,QB,76.0,218.0,OAK,UCLA
Kelly Stouffer,19870006,1987,QB,75.0,210.0,SL,Colorado State
Ken O'Brien,19830024,1983,QB,0.0,0.0,NYJ,UC-Davis
Kerry Collins,19950005,1995,QB,77.0,247.0,CAR,Penn State
