interceptionId,playId,teamId,playerId,intPosition,intYards,intTd
540001,36,3200,20030036,DB,14,False
540002,60,3800,20000091,CB,0,False
540003,84,3800,19970057,LB,65,False
540004,130,3200,20030036,DB,13,False
540005,602,3430,20040012,LB,6,False
540006,632,3430,20000102,CB,14,False
540007,637,3430,19920005,CB,18,False
540008,838,3800,20000091,CB,0,False
540009,915,3800,20010482,S,1,False
540010,942,3800,20010202,CB,2,False
540011,1002,3800,20040033,OLB,2,False
540012,1061,4600,20010040,CB,21,True
540013,1093,3800,19980010,CB,5,False
540014,1102,3800,20000091,CB,2,False
540015,1152,4500,19980035,S,25,False
540016,1323,3800,20000091,CB,0,False
540017,1534,4900,20010084,S,13,False
540018,1538,3800,20040064,DT,20,False
540019,1625,3800,20010064,S,24,False
540020,1746,3800,20010064,S,11,False
540021,1853,750,20040028,CB,2,False
540022,1890,750,20040028,CB,0,False
540023,1944,200,19960063,CB,30,False
540024,2020,200,19960063,CB,32,False
540025,2189,1540,20040140,LB,33,False
540026,2411,200,19970438,CB,20,False
540027,2533,200,19980085,CB,14,False
540028,2569,3300,20020025,DE,8,False
540029,2617,200,20040008,CB,2,False
540030,2695,200,19990153,DT,39,True
540031,2782,200,19980012,LB,2,False
540032,2847,4400,20030046,CB,3,False
540033,3050,200,19960063,CB,0,False
540034,3179,200,20000048,CB,0,False
540035,3307,4900,19970066,CB,0,False
540036,3368,200,19980085,CB,8,False
540037,3454,325,19980097,CB,49,True
540038,3464,325,20010152,CB,17,False
540039,3573,325,19890005,CB,48,True
540040,3662,325,19890005,CB,0,False
540041,3675,325,20020209,S,94,False
540042,3681,325,20020024,S,14,False
540043,3799,920,20040056,FS,0,False
540044,3802,325,20020024,S,21,False
540045,4013,325,20020024,S,106,True
540046,4113,325,20020024,S,2,False
540047,4146,325,20020209,S,44,True
540048,4284,1540,20030137,S,35,False
540049,4311,325,20030182,S,0,False
540050,4560,325,20030109,DE,6,True
540051,4590,325,20020024,S,41,False
540052,4630,325,20020052,DE,1,False
540053,4686,325,20010062,CB,33,False
540054,4753,325,20020024,S,6,False
540055,4947,325,20000186,DE,8,False
540056,4999,325,19990010,DB,51,True
540057,5201,610,19920007,CB,8,False
540058,5204,1050,20000095,DB,24,False
540059,5289,610,20010021,CB,5,False
540060,5338,610,20030111,CB,4,False
540061,5342,1400,20010024,CB,15,False
540062,5354,610,20020061,DE,3,False
540063,5515,610,20010021,CB,2,False
540064,5609,610,19980188,S,33,False
540065,5666,610,19980013,LB,11,True
540066,5853,3200,19950022,CB,21,False
540067,6074,610,19960036,S,11,False
540068,6149,3900,20020128,LB,1,False
540069,6165,610,19980013,LB,16,False
540070,6217,610,20010021,CB,30,True
540071,6312,2510,20020064,CB,30,False
540072,6392,610,19980013,LB,0,False
540073,6421,610,19940008,DT,0,False
540074,6444,610,20030111,CB,0,False
540075,6666,3800,20010064,S,27,False
540076,6673,750,20030119,S,3,False
540077,6686,750,20030119,S,76,False
540078,6778,750,20040028,CB,0,False
540079,6896,200,20030055,S,22,False
540080,6922,200,19970438,CB,35,True
540081,7057,1800,20030029,LB,16,False
